JavaScript: The Good Parts,Douglas Crockford,Web Development
Eloquent JavaScript,Marijn Haverbeke,Web Development
You Don't Know JS,Kyle Simpson,Web Development
Learning PHP, MySQL & JavaScript,Robin Nixon,Web Development
Clean Code,Robert C. Martin,Software Engineering
The Pragmatic Programmer,Andrew Hunt and David Thomas,Software Engineering
Design Patterns,Erich Gamma,Software Engineering
Refactoring,Martin Fowler,Software Engineering
Python Data Science Handbook,Jake VanderPlas,Data Science
Data Science from Scratch,Joel Grus,Data Science
Hands-On Machine Learning,Aurélien Géron,Data Science
Deep Learning,Ian Goodfellow,Data Science
Android Programming,Bill Phillips,Mobile Development
iOS Programming,Christian Keur,Mobile Development
Flutter in Action,Eric Windmill,Mobile Development
Kotlin Programming,Josh Skeen,Mobile Development
The Phoenix Project,Gene Kim,DevOps
The DevOps Handbook,Gene Kim,DevOps
Site Reliability Engineering,Niall Richard Murphy,DevOps
Continuous Delivery,Jez Humble,DevOps
